ranking,score,movie_name,score_num
1,9.4,这个杀手不太冷,820708
2,9.2,盗梦空间,752664
3,9.2,大话西游之大圣娶亲,481165
4,9.2,七武士,73296
5,9.1,指环王3：王者无敌,281519
6,9.0,搏击俱乐部,400693
7,9.0,蝙蝠侠：黑暗骑士,313013
8,9.0,将军号,7113
9,8.9,大话西游之月光宝盒,389467
10,8.9,指环王1：魔戒再现,296633
11,8.9,指环王2：双塔奇兵,265691
12,8.9,攻壳机动队,56934
13,8.8,V字仇杀队,406612
14,8.8,勇敢的心,290173
15,8.8,黑客帝国,271822
16,8.8,幽灵公主,227417
17,8.8,用心棒,13100
18,8.8,桥,11405
19,8.8,攻壳机动队SSS,9299
20,8.8,铁达尼号沉没记,4916
21,8.7,让子弹飞,603926
22,8.7,血战钢锯岭,275182
23,8.7,谍影重重3,173451
24,8.7,英雄本色,141099
25,8.7,纵横四海,134915
26,8.7,东邪西毒：终极版,88198
27,8.7,小萝莉的猴神大叔,69691
28,8.7,精英部队2：大敌当前,44562
29,8.7,乱,31666
30,8.7,黑客帝国动画版,30304
31,8.7,椿三十郎,8121
32,8.6,阿凡达,510548
33,8.6,超能陆战队,345005
34,8.6,加勒比海盗,329337
35,8.6,东邪西毒,238971
36,8.6,枪火,92032
37,8.6,恶童,46659
38,8.6,宾虚,18529
39,8.6,蝙蝠侠：黑暗骑士归来(下),15025
40,8.6,芭萨提的颜色,9662
41,8.6,敲开天堂的门,8518
42,8.6,碧血金沙,3762
43,8.6,落叶,3683
44,8.5,蝙蝠侠：黑暗骑士崛起,278342
45,8.5,被解救的姜戈,245619
46,8.5,疯狂的麦克斯4：狂暴之路,197433
47,8.5,谍影重重,181824
48,8.5,谍影重重2,150611
49,8.5,黑客帝国3：矩阵革命,145175
50,8.5,勇闯夺命岛,134900
51,8.5,终结者2：审判日,133065
52,8.5,黑鹰坠落,103174
53,8.5,启示,43601
54,8.5,午夜狂奔,7751
55,8.5,西线无战事,7023
56,8.5,大菩萨岭,5008
57,8.5,兽兵卫忍风帖,4529
58,8.5,盗信情缘,3544
59,8.5,死亡的游戏,1956
60,8.5,通往自由的通道,1559
61,8.5,笔中情,1035
62,8.4,王牌特工：特工学院,313767
63,8.4,速度与激情5,206374
64,8.4,变脸,203030
65,8.4,新龙门客栈,171171
66,8.4,黑客帝国2：重装上阵,135415
67,8.4,罪恶之城,133668
68,8.4,角斗士,121708
69,8.4,暗战,110263
70,8.4,神探,101278
71,8.4,黄海,76091
72,8.4,王牌对王牌,63202
73,8.4,盗火线,62978
74,8.4,精武门,14135
75,8.4,杀死比尔整个血腥事件,10174
76,8.4,蜘蛛巢城,8501
77,8.4,侠女,7277
78,8.4,最长的一天,6838
79,8.4,红线,3813
80,8.4,飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,3511
81,8.4,福禄双霸天,1699
82,8.4,忍者小英雄,1038
83,8.3,源代码,386645
84,8.3,速度与激情7,251587
85,8.3,金刚狼3：殊死一战,202701
86,8.3,无间道2,151004
87,8.3,买凶拍人,90682
88,8.3,热血警探,83078
89,8.3,笑傲江湖2：东方不败,82291
90,8.3,星球大战,59370
91,8.3,太极旗飘扬,51168
92,8.3,星球大战3：绝地归来,43298
93,8.3,喋血双雄,34949
94,8.3,一个字头的诞生,30067
95,8.3,荒野大镖客,19620
96,8.3,阿基拉,18783
97,8.3,日落黄沙,4524
98,8.3,胜利之光,4311
99,8.3,菜鸟总动员：毕业,2289
100,8.3,飞出个未来大电影2：万背之兽,2142
101,8.3,战略大作战,2141
102,8.3,冰海沉船,2115
103,8.3,孟菲斯美女号,1871
104,8.2,西游记之大圣归来,363844
105,8.2,釜山行,337799
106,8.2,碟中谍4,251092
107,8.2,X战警：逆转未来,242805
108,8.2,第九区,218007
109,8.2,霍比特人3：五军之战,188533
110,8.2,霍比特人2：史矛革之战,188079
111,8.2,银河护卫队2,142102
112,8.2,蝙蝠侠：侠影之谜,129403
113,8.2,飓风营救,124061
114,8.2,星球大战前传3：西斯的复仇,52350
