ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,857066
2,9.5,霸王别姬,614675
3,9.4,这个杀手不太冷,820631
4,9.4,阿甘正传,700801
5,9.5,美丽人生,408658
6,9.2,千与千寻,652658
7,9.4,辛德勒的名单,377140
8,9.2,泰坦尼克号,644364
9,9.2,盗梦空间,752630
10,9.3,机器人总动员,493532
11,9.2,海上钢琴师,592956
12,9.1,三傻大闹宝莱坞,664879
13,9.2,忠犬八公的故事,447666
14,9.2,放牛班的春天,446244
15,9.2,大话西游之大圣娶亲,481123
16,9.1,龙猫,412934
17,9.2,教父,339409
18,9.0,楚门的世界,446431
19,9.2,乱世佳人,268096
20,9.1,天堂电影院,306521
21,9.1,触不可及,361466
22,8.9,当幸福来敲门,532154
23,9.0,搏击俱乐部,400689
24,9.2,熔炉,245733
25,9.0,无间道,392520
26,9.4,十二怒汉,168618
27,8.9,怦然心动,536118
28,9.1,指环王3：王者无敌,281504
29,9.0,天空之城,327685
30,9.0,少年派的奇幻漂流,571423
31,9.1,星际穿越,474489
32,8.9,罗马假日,380699
33,9.2,鬼子来了,223777
34,9.0,蝙蝠侠：黑暗骑士,312987
35,8.9,大话西游之月光宝盒,389436
36,9.1,活着,260718
37,9.0,两杆大烟枪,269969
38,8.9,飞屋环游记,490913
39,9.1,窃听风暴,218001
40,9.0,飞越疯人院,273728
41,9.3,海豚湾,179438
42,8.9,闻香识女人,315747
43,8.8,V字仇杀队,406555
44,8.9,哈尔的移动城堡,340804
45,9.1,教父2,182728
46,8.9,美丽心灵,299073
47,8.9,指环王2：双塔奇兵,265658
48,8.9,指环王1：魔戒再现,296621
49,8.9,死亡诗社,270636
50,8.8,情书,366096
51,8.7,天使爱美丽,473280
52,9.6,控方证人,81531
53,9.1,美国往事,170574
54,9.0,钢琴家,198565
55,8.7,七宗罪,426395
56,9.1,辩护人,192968
57,8.9,狮子王,274649
58,9.0,饮食男女,188964
59,8.9,被嫌弃的松子的一生,272281
60,8.8,致命魔术,332075
61,8.8,勇敢的心,290161
62,9.2,小鞋子,132596
63,8.7,剪刀手爱德华,472589
64,8.9,音乐之声,226468
65,8.7,低俗小说,324588
66,8.8,入殓师,312295
67,8.7,本杰明·巴顿奇事,382789
68,8.7,沉默的羔羊,343262
69,8.8,黑客帝国,271808
70,9.1,素媛,167913
71,8.7,蝴蝶效应,370718
72,8.8,拯救大兵瑞恩,228534
73,8.7,西西里的美丽传说,334622
74,9.2,疯狂动物城,475317
75,8.9,玛丽和马克思,228202
76,8.7,心灵捕手,261501
77,8.8,春光乍泄,236040
78,8.8,幽灵公主,227415
79,8.8,第六感,226844
80,8.7,让子弹飞,603865
81,8.7,阳光灿烂的日子,261480
82,9.2,大闹天宫,93821
83,8.7,大鱼,243870
84,8.6,重庆森林,316576
85,8.7,射雕英雄传之东成西就,266182
86,8.9,上帝之城,153750
87,8.8,阳光姐妹淘,259018
88,8.7,甜蜜蜜,225436
89,8.6,禁闭岛,344930
90,8.6,致命ID,305840
91,8.9,一一,149539
92,8.7,告白,328396
93,9.0,狩猎,119477
94,8.6,加勒比海盗,329313
95,8.7,布达佩斯大饭店,293753
96,8.6,断背山,306644
97,8.7,爱在黎明破晓前,210884
98,8.9,末代皇帝,154854
99,8.6,阿凡达,510523
100,9.2,摩登时代,83515
101,8.8,风之谷,169569
102,8.7,猫鼠游戏,210474
103,8.7,爱在日落黄昏时,191023
104,8.6,哈利·波特与魔法石,238712
105,8.8,侧耳倾听,160668
106,8.7,萤火虫之墓,196472
107,8.7,驯龙高手,273305
108,8.8,穿条纹睡衣的男孩,133536
109,8.8,超脱,164570
110,9.0,海洋,96634
111,8.7,消失的爱人,334266
112,8.6,幸福终点站,217602
113,8.7,菊次郎的夏天,172144
114,8.6,倩女幽魂,235978
115,8.5,神偷奶爸,357092
116,9.2,七武士,73289
117,8.7,电锯惊魂,191183
118,8.6,岁月神偷,296188
119,8.7,恐怖直播,203626
120,8.7,谍影重重3,173437
121,8.8,燃情岁月,144646
122,8.7,借东西的小人阿莉埃蒂,206966
123,8.5,真爱至上,297418
124,8.6,雨人,202463
125,8.5,贫民窟的百万富翁,382992
126,8.8,红辣椒,122672
127,8.6,东邪西毒,238955
128,8.6,杀人回忆,198286
129,8.9,虎口脱险,103297
130,8.5,记忆碎片,265812
131,8.7,疯狂原始人,355523
132,8.6,怪兽电力公司,227392
133,8.8,卢旺达饭店,113182
134,8.5,黑天鹅,399225
135,8.8,喜宴,130784
136,8.9,小森林 夏秋篇,117770
137,8.6,穿越时空的少女,177662
138,8.8,魂断蓝桥,124679
139,8.5,猜火车,239554
140,8.5,喜剧之王,291122
141,8.5,恋恋笔记本,267426
142,8.7,英雄本色,141092
143,8.9,雨中曲,89409
144,8.4,傲慢与偏见,286307
145,8.7,教父3,122762
146,9.0,完美的世界,74986
147,8.7,纵横四海,134900
148,8.7,玩具总动员3,184567
149,8.7,萤火之森,146459
150,8.6,人工智能,181272
151,8.8,我是山姆,96721
152,8.7,浪潮,124564
153,8.6,哈利·波特与死亡圣器(下),259327
154,8.7,7号房的礼物,161631
155,8.5,花样年华,232417
156,8.4,香水,262922
157,8.4,冰川时代,256789
158,8.6,撞车,167061
159,8.5,朗读者,267889
160,8.9,追随,76127
161,8.7,一次别离,125522
162,8.7,荒蛮故事,120356
163,8.7,罗生门,116259
164,8.6,时空恋旅人,183566
165,8.6,心迷宫,145619
166,8.4,唐伯虎点秋香,299115
167,8.6,超能陆战队,344986
168,8.5,战争之王,166362
169,8.7,梦之安魂曲,105988
170,8.7,碧海蓝天,104623
171,8.6,可可西里,122216
172,8.9,小森林 冬春篇,101321
173,8.8,地球上的星星,78804
174,8.3,秒速5厘米,276753
175,8.5,蝙蝠侠：黑暗骑士崛起,278325
176,8.6,海盗电台,159584
177,8.5,谍影重重2,150594
178,8.5,谍影重重,181807
179,8.3,恐怖游轮,297628
180,8.5,阿飞正传,168605
181,8.8,未麻的部屋,86881
182,8.6,爆裂鼓手,220734
183,8.6,达拉斯买家俱乐部,157526
184,8.7,牯岭街少年杀人事件,98842
185,8.8,惊魂记,76979
186,8.4,魔女宅急便,181647
187,9.1,迁徙的鸟,50007
188,8.5,再次出发之纽约遇见你,154617
189,8.7,绿里奇迹,100336
190,8.5,勇闯夺命岛,134896
191,8.6,荒野生存,120660
192,9.2,东京物语,47134
193,8.6,海边的曼彻斯特,120700
194,8.5,被解救的姜戈,245606
195,8.7,末路狂花,98087
196,8.6,卡萨布兰卡,117854
197,8.6,燕尾蝶,103913
198,8.5,终结者2：审判日,133053
199,8.5,这个男人来自地球,166018
200,8.4,青蛇,205600
201,9.0,忠犬八公物语,52359
202,8.4,变脸,203021
203,8.4,英国病人,166567
204,8.8,哪吒闹海,74092
205,8.5,E.T. 外星人,143789
206,8.3,源代码,386623
207,8.4,新龙门客栈,171161
208,8.4,发条橙,176407
209,9.1,黄金三镖客,47941
210,8.6,叫我第一名,103158
211,8.5,黑客帝国3：矩阵革命,145167
212,8.4,美国丽人,174068
213,9.2,城市之光,39954
214,8.3,穆赫兰道,220737
215,8.6,非常嫌疑犯,109006
216,8.4,无耻混蛋,210731
217,8.6,上帝也疯狂,90931
218,8.2,初恋这件小事,430541
219,8.9,勇士,82675
220,8.3,蓝色大门,261520
221,9.0,爱·回家,44709
222,8.5,模仿游戏,235615
223,8.3,曾经,194024
224,8.6,无敌破坏王,174595
225,8.7,大卫·戈尔的一生,82821
226,8.5,血钻,120960
227,8.5,麦兜故事,120887
228,8.4,暖暖内含光,136373
229,8.3,国王的演讲,317587
230,8.7,爱在午夜降临前,106258
231,8.6,蝴蝶,91557
232,8.6,枪火,92025
233,8.5,遗愿清单,117514
234,8.6,巴黎淘气帮,100669
235,8.2,疯狂的石头,289173
236,8.9,与狼共舞,53533
237,8.7,千钧一发,77898
238,8.4,荒岛余生,123781
239,8.5,偷拐抢骗,109807
240,8.5,月球,134242
241,8.3,夜访吸血鬼,187588
242,9.0,我爱你,51484
243,8.8,寿司之神,76542
244,8.3,爱在暹罗,210596
245,8.7,中央车站,72676
246,8.5,廊桥遗梦,91924
247,8.4,彗星来的那一夜,154170
248,8.7,头脑特工队,202907
249,8.8,房间,133577
250,8.4,罪恶之城,133663
